"ID"	"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Subsystem_new"	"Lower bound"	"Upper bound"	"Objective"	"Notes"	"EC Number"	"KEGG ID"
1101	"r_2409"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3045[lp]  -> s_0531[lp] + s_3060[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-16:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-18:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1102	"r_2410"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3047[lp]  -> s_0531[lp] + s_3061[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-16:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-16:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1103	"r_2411"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3049[lp]  -> s_0531[lp] + s_3062[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-16:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-18:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1104	"r_2412"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3051[lp]  -> s_0531[lp] + s_3063[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-18:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-16:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1105	"r_2413"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3053[lp]  -> s_0531[lp] + s_3064[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-18:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-18:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1106	"r_2414"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3055[lp]  -> s_0531[lp] + s_3065[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-18:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-16:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1107	"r_2415"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-16:1), lipid particle"	"s_2849[lp] + s_3057[lp]  -> s_0531[lp] + s_3066[lp]"	"palmitoleoyl-CoA(4−)[lp] + diglyceride (1-18:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-18:1, 3-16:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1108	"r_2416"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3043[lp]  -> s_0531[lp] + s_3067[lp]"	"stearoyl-CoA[lp] + diglyceride (1-16:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-16:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1109	"r_2417"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3045[lp]  -> s_0531[lp] + s_3068[lp]"	"stearoyl-CoA[lp] + diglyceride (1-16:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-18:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1110	"r_2418"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3047[lp]  -> s_0531[lp] + s_3069[lp]"	"stearoyl-CoA[lp] + diglyceride (1-16:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-16:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1111	"r_2419"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3049[lp]  -> s_0531[lp] + s_3070[lp]"	"stearoyl-CoA[lp] + diglyceride (1-16:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-18:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1112	"r_2420"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3051[lp]  -> s_0531[lp] + s_3071[lp]"	"stearoyl-CoA[lp] + diglyceride (1-18:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-16:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1113	"r_2421"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3053[lp]  -> s_0531[lp] + s_3072[lp]"	"stearoyl-CoA[lp] + diglyceride (1-18:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-18:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1114	"r_2422"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3055[lp]  -> s_0531[lp] + s_3073[lp]"	"stearoyl-CoA[lp] + diglyceride (1-18:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-16:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1115	"r_2423"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:0), lipid particle"	"s_2851[lp] + s_3057[lp]  -> s_0531[lp] + s_3074[lp]"	"stearoyl-CoA[lp] + diglyceride (1-18:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-18:1, 3-18:0)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1116	"r_2424"	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3043[lp]  -> s_0531[lp] + s_3075[lp]"	"oleoyl-CoA[lp] + diglyceride (1-16:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-16:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1117	"r_2425"	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3045[lp]  -> s_0531[lp] + s_3076[lp]"	"oleoyl-CoA[lp] + diglyceride (1-16:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:0, 2-18:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1118	"r_2426"	"diacylglycerol acyltransferase (1-16:1, 2-16:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3047[lp]  -> s_0531[lp] + s_3077[lp]"	"oleoyl-CoA[lp] + diglyceride (1-16:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-16:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1119	"r_2427"	"diacylglycerol acyltransferase (1-16:1, 2-18:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3049[lp]  -> s_0531[lp] + s_3078[lp]"	"oleoyl-CoA[lp] + diglyceride (1-16:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-16:1, 2-18:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1120	"r_2428"	"diacylglycerol acyltransferase (1-18:0, 2-16:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3051[lp]  -> s_0531[lp] + s_3079[lp]"	"oleoyl-CoA[lp] + diglyceride (1-18:0, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-16:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1121	"r_2429"	"diacylglycerol acyltransferase (1-18:0, 2-18:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3053[lp]  -> s_0531[lp] + s_3080[lp]"	"oleoyl-CoA[lp] + diglyceride (1-18:0, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:0, 2-18:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1122	"r_2430"	"diacylglycerol acyltransferase (1-18:1, 2-16:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3055[lp]  -> s_0531[lp] + s_3081[lp]"	"oleoyl-CoA[lp] + diglyceride (1-18:1, 2-16:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-16:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1123	"r_2431"	"diacylglycerol acyltransferase (1-18:1, 2-18:1, 3-18:1), lipid particle"	"s_2853[lp] + s_3057[lp]  -> s_0531[lp] + s_3082[lp]"	"oleoyl-CoA[lp] + diglyceride (1-18:1, 2-18:1)[lp]  -> coenzyme A[lp] + triglyceride (1-18:1, 2-18:1, 3-18:1)[lp]"	"YOR245C"	"glycerolipid metabolism ( sce00561 )"	0	1000	0	"pmid:22345606"	"2.3.1.20; 2.3.1.22"	"NA"
1124	"r_2432"	"CDP-diacylglycerol synthase (1-16:0, 2-16:1), ER membrane"	"s_2783[erm] + s_2954[erm] + s_3083[erm]  <=> s_2834[erm] + s_3084[erm]"	"H+[erm] + phosphatidate (1-16:0, 2-16:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-16:0, 2-16:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1125	"r_2433"	"CDP-diacylglycerol synthase (1-16:1, 2-16:1), ER membrane"	"s_2783[erm] + s_2956[erm] + s_3083[erm]  <=> s_2834[erm] + s_3085[erm]"	"H+[erm] + phosphatidate (1-16:1, 2-16:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-16:1, 2-16:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1126	"r_2434"	"CDP-diacylglycerol synthase (1-18:0, 2-16:1), ER membrane"	"s_2783[erm] + s_2958[erm] + s_3083[erm]  <=> s_2834[erm] + s_3086[erm]"	"H+[erm] + phosphatidate (1-18:0, 2-16:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-18:0, 2-16:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1127	"r_2435"	"CDP-diacylglycerol synthase (1-18:1, 2-16:1), ER membrane"	"s_2783[erm] + s_2960[erm] + s_3083[erm]  <=> s_2834[erm] + s_3087[erm]"	"H+[erm] + phosphatidate (1-18:1, 2-16:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-18:1, 2-16:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1128	"r_2436"	"CDP-diacylglycerol synthase (1-16:0, 2-18:1), ER membrane"	"s_2783[erm] + s_2955[erm] + s_3083[erm]  <=> s_2834[erm] + s_3088[erm]"	"H+[erm] + phosphatidate (1-16:0, 2-18:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-16:0, 2-18:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1129	"r_2437"	"CDP-diacylglycerol synthase (1-16:1, 2-18:1), ER membrane"	"s_2783[erm] + s_2957[erm] + s_3083[erm]  <=> s_2834[erm] + s_3089[erm]"	"H+[erm] + phosphatidate (1-16:1, 2-18:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-16:1, 2-18:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1130	"r_2438"	"CDP-diacylglycerol synthase (1-18:0, 2-18:1), ER membrane"	"s_2783[erm] + s_2959[erm] + s_3083[erm]  <=> s_2834[erm] + s_3090[erm]"	"H+[erm] + phosphatidate (1-18:0, 2-18:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-18:0, 2-18:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1131	"r_2439"	"CDP-diacylglycerol synthase (1-18:1, 2-18:1), ER membrane"	"s_2783[erm] + s_2961[erm] + s_3083[erm]  <=> s_2834[erm] + s_3091[erm]"	"H+[erm] + phosphatidate (1-18:1, 2-18:1)[erm] + CTP[erm]  <=> diphosphate[erm] + CDP-diacylglycerol (1-18:1, 2-18:1)[erm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1132	"r_2440"	"CDP-diacylglycerol synthase (1-16:0, 2-16:1), mitochondrial membrane"	"s_3092[mm] + s_3093[mm] + s_3094[mm]  <=> s_3095[mm] + s_3096[mm]"	"phosphatidate (1-16:0, 2-16:1)[mm] + CTP[mm] + H+[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-16:0, 2-16:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1133	"r_2441"	"CDP-diacylglycerol synthase (1-16:1, 2-16:1), mitochondrial membrane"	"s_3093[mm] + s_3094[mm] + s_3097[mm]  <=> s_3095[mm] + s_3098[mm]"	"CTP[mm] + H+[mm] + phosphatidate (1-16:1, 2-16:1)[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-16:1, 2-16:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1134	"r_2442"	"CDP-diacylglycerol synthase (1-18:0, 2-16:1), mitochondrial membrane"	"s_3093[mm] + s_3094[mm] + s_3099[mm]  <=> s_3095[mm] + s_3100[mm]"	"CTP[mm] + H+[mm] + phosphatidate (1-18:0, 2-16:1)[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-18:0, 2-16:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1135	"r_2443"	"CDP-diacylglycerol synthase (1-18:1, 2-16:1), mitochondrial membrane"	"s_3093[mm] + s_3094[mm] + s_3101[mm]  <=> s_3095[mm] + s_3102[mm]"	"CTP[mm] + H+[mm] + phosphatidate (1-18:1, 2-16:1)[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-18:1, 2-16:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1136	"r_2444"	"CDP-diacylglycerol synthase (1-16:0, 2-18:1), mitochondrial membrane"	"s_3093[mm] + s_3094[mm] + s_3103[mm]  <=> s_3095[mm] + s_3104[mm]"	"CTP[mm] + H+[mm] + phosphatidate (1-16:0, 2-18:1)[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-16:0, 2-18:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1137	"r_2445"	"CDP-diacylglycerol synthase (1-16:1, 2-18:1), mitochondrial membrane"	"s_3093[mm] + s_3094[mm] + s_3105[mm]  <=> s_3095[mm] + s_3106[mm]"	"CTP[mm] + H+[mm] + phosphatidate (1-16:1, 2-18:1)[mm]  <=> diphosphate[mm] + CDP-diacylglycerol (1-16:1, 2-18:1)[mm]"	"YBR029C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.7.7.41"	"NA"
1138	"r_2446"	"PS synthase (1-16:0, 2-16:1), ER membrane"	"s_3084[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3109[erm]"	"CDP-diacylglycerol (1-16:0, 2-16:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:0, 2-16:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1139	"r_2447"	"PS synthase (1-16:1, 2-16:1), ER membrane"	"s_3085[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3110[erm]"	"CDP-diacylglycerol (1-16:1, 2-16:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:1, 2-16:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1140	"r_2448"	"PS synthase (1-18:0, 2-16:1), ER membrane"	"s_3086[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3111[erm]"	"CDP-diacylglycerol (1-18:0, 2-16:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-18:0, 2-16:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1141	"r_2449"	"PS synthase (1-18:1, 2-16:1), ER membrane"	"s_3087[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3112[erm]"	"CDP-diacylglycerol (1-18:1, 2-16:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-18:1, 2-16:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1142	"r_2450"	"PS synthase (1-16:0, 2-18:1), ER membrane"	"s_3088[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3113[erm]"	"CDP-diacylglycerol (1-16:0, 2-18:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:0, 2-18:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1143	"r_2451"	"PS synthase (1-16:1, 2-18:1), ER membrane"	"s_3089[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3114[erm]"	"CDP-diacylglycerol (1-16:1, 2-18:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-16:1, 2-18:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1144	"r_2452"	"PS synthase (1-18:0, 2-18:1), ER membrane"	"s_3090[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3115[erm]"	"CDP-diacylglycerol (1-18:0, 2-18:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-18:0, 2-18:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1145	"r_2453"	"PS synthase (1-18:1, 2-18:1), ER membrane"	"s_3091[erm] + s_3107[erm]  -> s_2783[erm] + s_3108[erm] + s_3116[erm]"	"CDP-diacylglycerol (1-18:1, 2-18:1)[erm] + L-serine[erm]  -> H+[erm] + CMP[erm] + phosphatidyl-L-serine (1-18:1, 2-18:1)[erm]"	"YER026C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"2.7.8.8"	"NA"
1146	"r_2454"	"PI synthase (1-16:0, 2-16:1), ER membrane"	"s_3084[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3118[erm]"	"CDP-diacylglycerol (1-16:0, 2-16:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1147	"r_2455"	"PI synthase (1-16:1, 2-16:1), ER membrane"	"s_3085[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3119[erm]"	"CDP-diacylglycerol (1-16:1, 2-16:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1148	"r_2456"	"PI synthase (1-18:0, 2-16:1), ER membrane"	"s_3086[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3120[erm]"	"CDP-diacylglycerol (1-18:0, 2-16:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1149	"r_2457"	"PI synthase (1-18:1, 2-16:1), ER membrane"	"s_3087[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3121[erm]"	"CDP-diacylglycerol (1-18:1, 2-16:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1150	"r_2458"	"PI synthase (1-16:0, 2-18:1), ER membrane"	"s_3088[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3122[erm]"	"CDP-diacylglycerol (1-16:0, 2-18:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1151	"r_2459"	"PI synthase (1-16:1, 2-18:1), ER membrane"	"s_3089[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3123[erm]"	"CDP-diacylglycerol (1-16:1, 2-18:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1152	"r_2460"	"PI synthase (1-18:0, 2-18:1), ER membrane"	"s_3090[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3124[erm]"	"CDP-diacylglycerol (1-18:0, 2-18:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1153	"r_2461"	"PI synthase (1-18:1, 2-18:1), ER membrane"	"s_3091[erm] + s_3117[erm]  -> s_2783[erm] + s_3108[erm] + s_3125[erm]"	"CDP-diacylglycerol (1-18:1, 2-18:1)[erm] + myo-inositol[erm]  -> H+[erm] + CMP[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1)[erm]"	"YPR113W"	"inositol phosphate metabolism ( sce00562 )"	0	1000	0	"pmid:22345606"	"2.7.8.11"	"NA"
1154	"r_2462"	"lysoPI acyltransferase (1-18:0, 2-16:1), ER membrane"	"s_2791[erm] + s_3126[erm]  <=> s_2785[erm] + s_3120[erm]"	"stearoyl-CoA[erm] + sn-2-acyl-1-lysophosphatidylinositol (16:1)[erm]  <=> coenzyme A[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1)[erm]"	"YBR042C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.3.-.-"	"NA"
1155	"r_2463"	"lysoPI acyltransferase (1-18:0, 2-18:1), ER membrane"	"s_2791[erm] + s_3127[erm]  <=> s_2785[erm] + s_3124[erm]"	"stearoyl-CoA[erm] + sn-2-acyl-1-lysophosphatidylinositol (18:1)[erm]  <=> coenzyme A[erm] + 1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1)[erm]"	"YBR042C"	"glycerophospholipid metabolism ( sce00564 )"	-1000	1000	0	"pmid:22345606"	"2.3.-.-"	"NA"
1156	"r_2464"	"PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane"	"s_3094[mm] + s_3128[mm]  -> s_3129[mm] + s_3130[mm]"	"H+[mm] + phosphatidyl-L-serine (1-16:0, 2-16:1)[mm]  -> carbon dioxide[mm] + phosphatidylethanolamine (1-16:0, 2-16:1)[mm]"	"YNL169C"	"glycerophospholipid metabolism ( sce00564 )"	0	1000	0	"pmid:22345606"	"4.1.1.65"	"NA"
