Abbreviation	Subsystem_new	Removed duplicated subsystems and evidences for the choosed subystem
r_2140	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism; ito980"
r_2141	fatty acid biosynthesis ( sce00061 )	"/ sce01212 Fatty acid metabolism; ito980"
r_2142	fatty acid biosynthesis ( sce00061 )	"/ sce00190 Oxidative phosphorylation / sce00780 Biotin metabolism / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2143	fatty acid biosynthesis ( sce00061 )	"/ sce00190 Oxidative phosphorylation / sce00780 Biotin metabolism / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2144	fatty acid biosynthesis ( sce00061 )	"/ sce00190 Oxidative phosphorylation / sce00780 Biotin metabolism / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2145	fatty acid biosynthesis ( sce00061 )	"/ sce00780 Biotin metabolism / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2146	fatty acid biosynthesis ( sce00061 )	"/ sce00780 Biotin metabolism / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2147	fatty acid biosynthesis ( sce00061 )	"/ sce00780 Biotin metabolism / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism; Mitochondrial type II fatty acid synthase ito980"
r_2148	fatty acid biosynthesis ( sce00061 )	ito980
r_2149	fatty acid biosynthesis ( sce00061 )	ito980
r_2150	fatty acid biosynthesis ( sce00061 )	ito980
r_2151	fatty acid elongation ( sce00062 )	"/ sce01212 Fatty acid metabolism; EC should be 1.3.1.38?; ito980"
r_2152	fatty acid elongation ( sce00062 )	"/ sce01212 Fatty acid metabolism; EC should be 1.3.1.38?; ito980"
r_2153	fatty acid elongation ( sce00062 )	"/ sce01212 Fatty acid metabolism; EC should be 1.3.1.38?; ito980"
r_2154	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2155	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2156	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2157	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2158	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2159	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2160	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2161	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2162	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2163	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2164	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2165	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2166	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2167	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2168	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2169	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2170	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2171	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2172	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2173	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2174	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2175	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2176	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2177	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2178	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2179	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2180	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2181	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / sce01212 Fatty acid metabolism; Fatty acid biosynthesis ito980"
r_2182	biosynthesis of unsaturated fatty acids ( sce01040 )	"/ sce01212 Fatty acid metabolism; ito980"
r_2183	biosynthesis of unsaturated fatty acids ( sce01040 )	"/ sce01212 Fatty acid metabolism; ito980"
r_2194	fatty acid biosynthesis ( sce00061 )	ito980
r_2195	fatty acid biosynthesis ( sce00061 )	ito980
r_2196	fatty acid biosynthesis ( sce00061 )	ito980
r_2197	fatty acid biosynthesis ( sce00061 )	ito980
r_2198	fatty acid biosynthesis ( sce00061 )	ito980
r_2199	fatty acid biosynthesis ( sce00061 )	ito980
r_2200	fatty acid biosynthesis ( sce00061 )	ito980
r_2201	fatty acid biosynthesis ( sce00061 )	ito980
r_2202	fatty acid biosynthesis ( sce00061 )	ito980
r_2203	fatty acid biosynthesis ( sce00061 )	ito980
r_2204	fatty acid biosynthesis ( sce00061 )	ito980
r_2205	fatty acid biosynthesis ( sce00061 )	ito980
r_2206	fatty acid biosynthesis ( sce00061 )	ito980
r_2207	fatty acid biosynthesis ( sce00061 )	ito980
r_2208	fatty acid biosynthesis ( sce00061 )	ito980
r_2209	fatty acid biosynthesis ( sce00061 )	ito980
r_2210	fatty acid biosynthesis ( sce00061 )	ito980
r_2211	fatty acid biosynthesis ( sce00061 )	ito980
r_2212	fatty acid biosynthesis ( sce00061 )	ito980
r_2213	fatty acid biosynthesis ( sce00061 )	ito980
r_2214	fatty acid biosynthesis ( sce00061 )	ito980
r_2215	fatty acid biosynthesis ( sce00061 )	ito980
r_2216	fatty acid biosynthesis ( sce00061 )	ito980
r_2217	fatty acid biosynthesis ( sce00061 )	ito980
r_2218	fatty acid biosynthesis ( sce00061 )	ito980
r_2232	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; MNX"
r_2233	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; MNX"
r_2234	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; MNX"
r_2235	biosynthesis of unsaturated fatty acids ( sce01040 )	"sce00062 Fatty acid elongation / ; MNX"
r_2236	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2237	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2238	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2239	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2240	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2241	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2242	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2243	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2244	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2245	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2246	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2247	fatty acid degradation ( sce00071 )	"/ sce01212 Fatty acid metabolism / sce04146 Peroxisome/ sce01040 Biosynthesis of unsaturated fatty acids ; Fatty acid degradation in ito980"
r_2248	fatty acid degradation ( sce00071 )	ito980
r_2249	fatty acid degradation ( sce00071 )	ito980
r_2250	fatty acid degradation ( sce00071 )	ito980
r_2251	fatty acid degradation ( sce00071 )	ito980
r_2252	fatty acid degradation ( sce00071 )	ito980
r_2253	fatty acid degradation ( sce00071 )	ito980
r_2254	fatty acid degradation ( sce00071 )	ito980
r_2255	fatty acid degradation ( sce00071 )	ito980
r_2256	fatty acid degradation ( sce00071 )	ito980
r_2257	fatty acid degradation ( sce00071 )	ito980
r_2258	fatty acid degradation ( sce00071 )	ito980
r_2259	fatty acid degradation ( sce00071 )	ito980
r_2260	fatty acid degradation ( sce00071 )	ito980
r_2261	fatty acid degradation ( sce00071 )	ito980
r_2262	fatty acid degradation ( sce00071 )	ito980
r_2263	fatty acid degradation ( sce00071 )	ito980
r_2264	fatty acid degradation ( sce00071 )	ito980
r_2265	fatty acid degradation ( sce00071 )	ito980
r_2266	fatty acid degradation ( sce00071 )	ito980
r_2267	fatty acid degradation ( sce00071 )	ito980
r_2268	fatty acid degradation ( sce00071 )	ito980
r_2269	fatty acid degradation ( sce00071 )	ito980
r_2270	fatty acid degradation ( sce00071 )	ito980
r_2271	fatty acid degradation ( sce00071 )	ito980
r_2272	fatty acid degradation ( sce00071 )	ito980
r_2273	fatty acid degradation ( sce00071 )	ito980
r_2274	fatty acid degradation ( sce00071 )	ito980
r_2275	fatty acid degradation ( sce00071 )	ito980
r_2276	fatty acid degradation ( sce00071 )	ito980
r_2277	fatty acid degradation ( sce00071 )	ito980
r_2278	fatty acid degradation ( sce00071 )	ito980
r_2279	fatty acid degradation ( sce00071 )	ito980
r_2280	fatty acid degradation ( sce00071 )	ito980
r_2281	fatty acid degradation ( sce00071 )	ito980
r_2282	fatty acid degradation ( sce00071 )	ito980
r_2283	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2284	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01110 Biosynthesis of secondary metabolites / sce01130 Biosynthesis of antibiotics / sce01212 Fatty acid metabolism / sce04146 Peroxisome; ito980"
r_2285	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2286	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2287	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2288	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2289	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2290	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2291	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2292	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2293	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2294	fatty acid degradation ( sce00071 )	"/ sce00280 Valine, leucine and isoleucine degradation / sce01040 Biosynthesis of unsaturated fatty acids / sce01212 Fatty acid metabolism / sce04146 Peroxisome; Fatty Acid Degradation ito980"
r_2295	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2296	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2297	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2298	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2299	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2300	fatty acid degradation ( sce00071 )	/ sce04146 Peroxisome, kegg
r_2301	fatty acid degradation ( sce00071 )	kegg
r_2302	fatty acid degradation ( sce00071 )	kegg
r_2303	peroxisome ( sce04146 )	"sce04146 Peroxisome; ito980"
r_2304	peroxisome ( sce04146 )	"sce04146 Peroxisome; ito980"
r_2305	citrate cycle (tca cycle) ( sce00020 )	"/ sce00630 Glyoxylate and dicarboxylate metabolism / sce01210 2-Oxocarboxylic acid metabolism; ito980"
r_2308	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2309	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2310	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2311	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2312	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2313	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2314	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2315	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2316	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2317	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2318	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2319	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2320	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2321	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2322	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
r_2323	glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )	No change
